SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
1220,1142,0.00118097956533,Hafnarfjordur,Torshavn,ISL,FRO,64.06667,-21.91667,62,-6.75,8,6.52,8.39,34.7,35.17
1907,4364,0.00191135782309,Bodo,Kirkenes,NOR,NOR,67.28333,14.38333,69.73333,30.05,1,7.04,5.23,32.78,16.25
3235,102,0.000493015863045,Ilulissat,Aasiaat,GRL,GRL,69.21667,-51.1,68.71667,-52.88333,2,1.44,1.55,32.98,33.33
8652,1235,8.88345774385e-05,Myre,Eskifjordur,NOR,ISL,69.08333,15.95,65.08333,-13.98333,2,7.22,4.24,33.99,34.53
5066,4317,0.053218974919,Harstad,Svolvaer,NOR,NOR,68.8,16.55,68.23333,14.56667,367,7,6.05,33.69,32.82
612,102,0.000150853803808,Daneborg,Aasiaat,GRL,GRL,74.3,-20.25,68.71667,-52.88333,1,0,1.55,31.67,33.33
3218,875,0.00029320197943,Reykjavik,Thorshofn,ISL,ISL,64.14972,-21.9475,66.2,-15.33333,3,6.52,4.79,34.7,34.34
5439,173,0.000170569575469,Finnsnes,Glomfjord,NOR,NOR,69.23333,17.96667,66.81667,13.61667,1,5.19,7.52,10.3,17.19
4310,464,0.00555272598867,Qasigiannguit,Sisimiut,GRL,GRL,68.81667,-51.18333,66.95,-53.68333,20,1.06,1.69,33,33.1
5066,2104,8.83729629179e-05,Harstad,Alta,NOR,NOR,68.8,16.55,69.96667,23.25,1,7,3.93,33.69,4.1
5082,9697,0.0587155912555,Tromso,Leknes,NOR,NOR,69.65,18.96667,68.1333,13.6167,23,4.14,7.35,12.35,32.4
5435,5082,0.00207770676368,Vadso,Tromso,NOR,NOR,70.06667,29.73333,69.65,18.96667,3,3.33,4.14,33.81,12.35
9243,5082,0.00234330861358,Bergneset,Tromso,NOR,NOR,68.8,16,69.65,18.96667,16,7.13,4.14,33.78,12.35
5082,8797,0.000345883800412,Tromso,Longyearbyen,NOR,SJM,69.65,18.96667,78.25,15.58333,3,4.14,0.23,12.35,33.73
5835,5066,0.000534883675045,Advent Bay,Harstad,SJM,NOR,78.25,15.58333,68.8,16.55,5,0.23,7,33.73,33.69
4269,113,7.60136537152e-05,Alluitsup Paa,Qaqortoq,GRL,GRL,60.46667,-45.56667,60.71667,-46.03333,1,1.41,1.29,32.72,32.22
1142,374,0.00015543801864,Torshavn,Hammerfall,FRO,NOR,62,-6.75,67.41667,15.53333,1,8.39,4.7,35.17,10.27
5082,2104,0.000871204940744,Tromso,Alta,NOR,NOR,69.65,18.96667,69.96667,23.25,9,4.14,3.93,12.35,4.1
4488,4539,0.000448323252505,Kodiak,Akutan,USA,USA,57.78333,-152.4,54.13333,-165.75,1,6.33,5.9,32.43,32.1
2051,2684,0.000246538322094,Savissivik,Upernavik,GRL,GRL,76.03333,-64.85,72.78333,-56.15,1,-0.08,1.12,32.71,32.87
1220,53,0.0006176989516,Hafnarfjordur,Grundartangi,ISL,ISL,64.06667,-21.91667,64.35,-21.78333,17,6.52,5.13,34.7,24.33
2186,713,0.000237765268051,Nuuk,Kangerlussuaq,GRL,GRL,64.16667,-51.73333,66.96667,-50.95,1,1.37,0.58,32.31,0
6190,3218,0.00348986977738,Hofn,Reykjavik,ISL,ISL,64.26667,-15.21667,64.14972,-21.9475,7,6.51,6.52,34.84,34.7
464,4706,0.000241656536236,Sisimiut,Uummannaq,GRL,GRL,66.95,-53.68333,70.68333,-52.13333,1,1.69,1.47,33.1,32.78
1671,2395,0.000320265073039,Akranes,Grundarfjordur,ISL,ISL,64.31667,-22.08333,64.91667,-23.21667,2,7.29,5.29,34.65,33.95
113,4937,0.000164682435438,Qaqortoq,Ammassalik,GRL,GRL,60.71667,-46.03333,65.58333,-37.5,2,1.29,1.99,32.22,33.13
